BA,Month,Hour,Transportation_Load_Penetration_Percentage
AZPS,9,9,5.35
AZPS,9,9,4.75
AZPS,9,9,3.97
AZPS,9,9,3.63
AZPS,9,9,3.39
AZPS,9,9,3.23
AZPS,9,9,3.37
AZPS,9,9,4.15
AZPS,9,9,6.17
AZPS,9,9,8.53
AZPS,9,9,9.26
AZPS,9,9,6.52
AZPS,9,9,5.78
AZPS,9,9,5.28
AZPS,9,9,5.01
AZPS,9,9,4.86
AZPS,9,9,5.21
AZPS,9,9,5.56
AZPS,9,9,7.52
AZPS,10,10,9.49
AZPS,10,10,10.88
AZPS,10,10,9.02
AZPS,10,10,8.87
AZPS,10,10,7.12
AZPS,10,10,6.33
AZPS,10,10,5.7
AZPS,10,10,4.83
AZPS,10,10,4.37
AZPS,10,10,4.13
AZPS,10,10,4.02
AZPS,10,10,4.96
AZPS,10,10,4.6
AZPS,10,10,6.63
AZPS,10,10,8.82
AZPS,10,10,10.29
AZPS,10,10,7.65
AZPS,10,10,6.62
AZPS,10,10,6.37
AZPS,10,10,5.99
AZPS,10,10,5.99
AZPS,10,10,6.12
AZPS,10,10,6.77
AZPS,10,10,7.96
AZPS,11,11,11.67
AZPS,11,11,13.22
AZPS,11,11,9.63
AZPS,11,11,8.5
AZPS,11,11,7.63
AZPS,11,11,6.77
AZPS,11,11,5.8
AZPS,11,11,5.14
AZPS,11,11,4.34
AZPS,11,11,3.94
AZPS,11,11,3.64
AZPS,11,11,3.92
AZPS,11,11,4.88
AZPS,11,11,6.15
AZPS,11,11,7.02
AZPS,11,11,7.44
AZPS,11,11,7.43
AZPS,11,11,7.16
AZPS,11,11,7.65
AZPS,11,11,7.62
AZPS,11,11,7.61
AZPS,11,11,8.57
AZPS,11,11,8.93
AZPS,11,11,10.66
AZPS,12,12,14.39
AZPS,12,12,11.42
AZPS,12,12,9.2
AZPS,12,12,8.9
AZPS,12,12,8.07
AZPS,12,12,6.84
AZPS,12,12,5.66
AZPS,12,12,4.73
AZPS,12,12,4.08
AZPS,12,12,3.64
AZPS,12,12,3.31
AZPS,12,12,3.53
AZPS,12,12,4.22
AZPS,12,12,5.02
AZPS,12,12,7.02
AZPS,12,12,7.42
AZPS,12,12,6.64
AZPS,12,12,6.67
AZPS,12,12,7.24
AZPS,12,12,7.98
AZPS,12,12,7.59
AZPS,12,12,8.49
AZPS,12,12,9.17
AZPS,12,12,10.6
BANC,1,1,9.18
BANC,1,1,9.21
BANC,1,1,8.42
BANC,1,1,7.25
BANC,1,1,6.42
BANC,1,1,5.88
BANC,1,1,5.68
BANC,1,1,4.64
BANC,1,1,3.85
BANC,1,1,3.42
BANC,1,1,3.09
BANC,1,1,2.82
BANC,1,1,2.92
BANC,1,1,3.83
BANC,1,1,4.74
BANC,1,1,6.76
BANC,1,1,6.41
BANC,1,1,6.11
BANC,1,1,5.72
BANC,1,1,5.94
BANC,1,1,6.22
BANC,1,1,6.4
BANC,1,1,7.42
BANC,1,1,9.09
BANC,2,2,10.29
BANC,2,2,10.29
BANC,2,2,8.93
BANC,2,2,7.55
BANC,2,2,6.73
BANC,2,2,6.13
BANC,2,2,5.52
BANC,2,2,4.62
BANC,2,2,3.98
BANC,2,2,3.53
BANC,2,2,3.18
BANC,2,2,2.89
BANC,2,2,2.96
BANC,2,2,3.93
BANC,2,2,5.36
BANC,2,2,6.99
BANC,2,2,6.5
BANC,2,2,6.41
BANC,2,2,5.92
BANC,2,2,6.29
BANC,2,2,6.82
BANC,2,2,6.93
BANC,2,2,7.72
BANC,2,2,8.08
BANC,3,3,9.02
BANC,3,3,9.84
BANC,3,3,8.63
BANC,3,3,7.42
BANC,3,3,6.83
BANC,3,3,6.09
BANC,3,3,5.43
BANC,3,3,4.53
BANC,3,3,3.85
BANC,3,3,3.39
BANC,3,3,3.02
BANC,3,3,2.7
BANC,3,3,2.79
BANC,3,3,3.75
BANC,3,3,5.02
BANC,3,3,6.45
BANC,3,3,6.59
BANC,3,3,6.45
BANC,3,3,5.97
BANC,3,3,6.32
BANC,3,3,6.89
BANC,3,3,6.97
BANC,3,3,7.68
BANC,3,3,8.06
BANC,4,4,7.89
BANC,4,4,8.7
BANC,4,4,8.04
BANC,4,4,7.23
BANC,4,4,6.77
BANC,4,4,6.23
