BA,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
CISO,7,31086.235972602735,1173.046082191781,29913.189890410955
CISO,8,28936.34284931507,922.0838630136986,28014.258986301375
CISO,9,27150.640301369865,764.370301369863,26386.269999999997
CISO,10,26000.922657534244,658.6598082191781,25342.262849315066
CISO,11,25583.44849315068,604.1855342465755,24979.26295890411
CISO,12,25743.353534246573,626.7499726027397,25116.60356164384
CISO,13,26301.43375342466,842.0062465753425,25459.42750684931
CISO,14,27746.455698630136,1238.765315068493,26507.69038356165
CISO,15,29670.908356164386,1836.076575342466,27834.83178082192
CISO,16,30970.985232876716,1819.2278904109587,29151.757342465753
CISO,17,31427.021178082192,1687.9346849315066,29739.086493150684
CISO,18,31745.9985479452,1562.5010684931503,30183.497479452057
CISO,19,32250.272712328766,1598.5106301369863,30651.76208219178
CISO,20,32888.25939726027,1688.9864383561644,31199.27295890411
CISO,21,33523.184356164384,1676.812684931507,31846.37167123288
CISO,22,34344.93665753425,1876.5152328767124,32468.421424657536
CISO,23,35137.91435616439,2191.7759452054793,32946.138410958905
DOPD,0,245.64701369863013,2.667917808219178,242.97909589041095
DOPD,1,251.83032876712332,3.3160547945205483,248.5142739726028
DOPD,2,254.26123287671234,2.7526301369863013,251.50860273972603
DOPD,3,252.7889863013699,2.2469863013698634,250.542
DOPD,4,247.8646575342466,1.9417808219178083,245.9228767123288
DOPD,5,239.93871232876714,1.6768493150684933,238.26186301369864
DOPD,6,230.69169863013698,1.6621095890410962,229.0295890410959
DOPD,7,221.7895068493151,1.3123287671232877,220.4771780821918
DOPD,8,214.05523287671232,1.1491780821917807,212.90605479452051
DOPD,9,208.08416438356164,1.0734520547945208,207.01071232876714
DOPD,10,205.57336986301368,1.0270684931506848,204.54630136986304
DOPD,11,206.73542465753422,1.0295890410958903,205.70583561643832
DOPD,12,210.04630136986304,1.0463835616438357,208.99991780821918
DOPD,13,217.44539726027398,1.2662465753424659,216.1791506849315
DOPD,14,228.7187945205479,1.2433698630136985,227.47542465753423
DOPD,15,240.1945479452055,1.645013698630137,238.54953424657532
DOPD,16,247.15120547945207,1.1643013698630136,245.98690410958903
DOPD,17,248.5525205479452,0.9172054794520548,247.63531506849316
DOPD,18,245.34008219178082,0.8003561643835618,244.53972602739725
DOPD,19,242.19619178082195,0.9365205479452056,241.2596712328767
DOPD,20,239.53375342465756,1.2301917808219178,238.30356164383562
DOPD,21,237.39454794520546,1.2041917808219178,236.1903561643836
DOPD,22,236.56068493150684,1.3755068493150684,235.18517808219178
DOPD,23,237.611698630137,1.9124931506849314,235.69920547945208
EPE,0,1142.9528493150685,47.36402739726027,1095.5888219178084
EPE,1,1139.1340273972603,44.7654794520548,1094.3685479452056
EPE,2,1128.8541095890412,38.719506849315074,1090.134602739726
EPE,3,1116.3815342465753,34.519561643835615,1081.8619726027398
EPE,4,1057.633506849315,29.939123287671233,1027.6943835616437
EPE,5,978.4602191780823,24.691753424657534,953.7684657534246
EPE,6,902.125479452055,18.251753424657533,883.8737260273973
EPE,7,834.5519452054795,13.948520547945206,820.6034246575341
EPE,8,780.5375616438355,11.161780821917809,769.3757808219177
EPE,9,751.5032876712329,9.28331506849315,742.2199726027396
EPE,10,742.5524657534247,8.259123287671233,734.2933424657533
EPE,11,749.3735890410959,8.657315068493151,740.7162739726027
EPE,12,764.674,12.247780821917809,752.4262191780821
